# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
11600000	-45470.6	-26661	-18809.6	-26661	0.266952	0.0024028	1.38459	6.99998	165.909	0.0651826	5.55492	0.31504	0.218388	0.200507	0.266065
11800000	-44931.4	-26668.5	-18262.9	-26668.5	0.272355	0.00339944	1.57266	7.06039	176.826	0.0419589	0.772287	0.322004	0.212472	0.198312	0.267211
12000000	-43113	-26671.3	-16441.6	-26671.3	0.278865	0.00264545	2.18293	8.34779	135.404	0.0982258	10.0746	0.320746	0.209172	0.2022	0.267881
12200000	-43883.4	-26673.2	-17210.1	-26673.2	0.292122	0.00205036	1.97374	13.2332	121.415	0.0996795	5.99867	0.319154	0.217896	0.201925	0.261024
12400000	-43561.2	-26675.1	-16886.1	-26675.1	0.28523	0.0025994	2.10914	17.0852	129.532	0.0922173	7.32608	0.317792	0.21729	0.192721	0.272197
12600000	-44870.3	-26673.5	-18196.7	-26673.5	0.287024	0.00243192	1.66071	8.9283	128.625	0.0980619	6.6243	0.316499	0.221124	0.194368	0.268009
12800000	-44013.7	-26676.4	-17337.4	-26676.4	0.288689	0.00227307	1.89479	6.23671	119.355	0.126506	7.9664	0.317533	0.220231	0.196076	0.26616
13000000	-43823.7	-26692.4	-17131.4	-26692.4	0.31554	0.00196676	1.90849	12.5772	125.194	0.0729364	1.67678	0.32097	0.213459	0.197934	0.267637
13200000	-45061.7	-26636.1	-18425.6	-26636.1	0.262299	0.00294649	0.719109	14.4342	170.562	0.0675082	9.32061	0.323093	0.213778	0.194723	0.268406
13400000	-40366.8	-26655.1	-13711.7	-26655.1	0.272184	0.00205053	0.446899	9.53506	102.367	0.141699	9.61406	0.318331	0.215714	0.199651	0.266305
13600000	-21269.2	-26619.4	5350.15	-26619.4	0.277611	0.0024305	0.243852	9.81875	129.785	0.099529	3.19197	0.31879	0.215784	0.199339	0.266088
13800000	-38225.5	-26663.7	-11561.7	-26663.7	0.364891	0.0015125	0.404621	7.20243	65.5598	0.274416	6.50208	0.325427	0.216	0.195494	0.263079
14000000	-45712.3	-26656.1	-19056.3	-26656.1	0.284886	0.00215836	0.734436	10.0464	112.736	0.122402	10.5447	0.313897	0.221739	0.199457	0.264907
14200000	-34862.8	-26660.7	-8202.13	-26660.7	0.323948	0.0021792	0.351731	6.03477	107.164	0.133504	4.35039	0.321573	0.209155	0.201999	0.267272
14400000	-46064.7	-26678.7	-19386	-26678.7	0.288783	0.00145949	1.12926	12.3606	106.894	0.109969	4.09658	0.318813	0.219546	0.19823	0.263412
14600000	-44987.9	-26673.2	-18314.7	-26673.2	0.273321	0.00229202	0.678229	5.85502	122.683	0.145741	9.11684	0.31352	0.21288	0.1976	0.276001
14800000	-44368.7	-26653.7	-17715	-26653.7	0.272529	0.00215494	0.664345	17.9007	117.423	0.144135	8.51922	0.318448	0.210798	0.200072	0.270681
15000000	-40125.4	-26677.5	-13447.9	-26677.5	0.261914	0.0029067	3.56951	9.19883	131.338	0.134888	11.8172	0.312575	0.216636	0.199774	0.271015
15200000	-45784.6	-26673.9	-19110.8	-26673.9	0.290808	0.00193358	1.21616	8.30418	98.4198	0.168453	6.79436	0.325665	0.212189	0.193903	0.268243
15400000	-39919.1	-26690.4	-13228.8	-26690.4	0.346191	0.00187038	3.59292	6.76142	93.6036	0.133103	4.05402	0.31618	0.212785	0.198323	0.272711
15600000	-41107	-26674.8	-14432.2	-26674.8	0.283363	0.00235422	3.00579	4.63801	140.348	0.0908384	7.83259	0.320348	0.213565	0.194108	0.271979
15800000	-46003.3	-26679.1	-19324.2	-26679.1	0.328786	0.00183206	1.01584	7.27467	103.568	0.0624946	-3.06925	0.324415	0.207334	0.19939	0.268861
16000000	-42200.9	-26660	-15540.9	-26660	0.308732	0.00188326	0.511023	10.9064	100.343	0.108487	1.4573	0.321205	0.216345	0.199446	0.263005
16200000	-46033.1	-26648.8	-19384.3	-26648.8	0.26677	0.0028047	1.0127	7.55316	154.756	0.0739199	9.53263	0.31868	0.212005	0.20204	0.267276
16400000	-44313.3	-26673.7	-17639.6	-26673.7	0.282422	0.00252699	1.81348	6.85671	128.444	0.0747228	3.13436	0.320179	0.215529	0.200619	0.263672
16600000	-42949.4	-26694.8	-16254.6	-26694.8	0.310053	0.00195407	2.28917	14.3067	94.5163	0.13651	3.06003	0.325975	0.208404	0.19561	0.270011
16800000	-41144.8	-26685.5	-14459.3	-26685.5	0.294608	0.00187651	3.03389	9.29892	121.768	0.0846599	4.27775	0.318742	0.216547	0.201487	0.263224
17000000	-40448.9	-26686.6	-13762.3	-26686.6	0.287896	0.00228186	3.34028	8.11374	113.923	0.10253	1.19176	0.315332	0.212969	0.20318	0.268519
17200000	-44713.1	-26664.6	-18048.4	-26664.6	0.277682	0.00185648	0.670732	11.3113	107.038	0.135031	7.28196	0.315944	0.211382	0.207826	0.264848
17400000	-37686.1	-26632.4	-11053.7	-26632.4	0.273237	0.00315296	0.39191	5.47176	135.673	0.0784359	4.03083	0.319004	0.215424	0.202163	0.263409
17600000	-38221.5	-26655.3	-11566.2	-26655.3	0.291289	0.002451	0.410403	7.69137	128.188	0.110228	9.24974	0.321751	0.216409	0.196354	0.265486
17800000	-23130	-26638.1	3508.14	-26638.1	0.325177	0.00163383	0.258169	12.6402	101.261	0.137229	4.81601	0.325437	0.219218	0.190946	0.264399
